creative_id,campaign_key,adset_key,format,asset_path,primary_text,headline,destination_url,approval_status,qa_issue,account_id_alias,objective,placement,asset_hash,variant_group,hook,language,country,utm_source,utm_medium,utm_campaign,utm_content,utm_term,post_id,post_id_type,source_system,source_row_id,reviewer,approved_at
,camp_edge_missing_id,adset_edge_missing_id,image,fixtures/fake_agency_creatives/assets/edge_missing_id.jpg,Missing creative id copy,Missing ID,https://example.invalid/edge/missing-id,approved,,acct_fixture_edge,traffic,feed,hash_edge_missing_id,vg_edge,hook,fr,FR,facebook,paid_social,camp_edge_missing_id,vg_edge_missing_id,,post_edge_missing_id,existing,synthetic_sheet,row_edge_missing_id,QA Lead,2026-07-05T10:00:00Z
cr_edge_objective,camp_edge_objective,adset_edge_objective,image,fixtures/fake_agency_creatives/assets/edge_objective.jpg,Objective copy,Objective,https://example.invalid/edge/objective,approved,,acct_fixture_edge,conversions,feed,hash_edge_objective,vg_edge,hook,en,US,facebook,paid_social,camp_edge_objective,cr_edge_objective,,post_edge_objective,existing,synthetic_sheet,row_edge_objective,QA Lead,2026-07-05T10:00:00Z
cr_edge_format_place,camp_edge_format_place,adset_edge_format_place,story,fixtures/fake_agency_creatives/assets/edge_story.jpg,Story copy,Story,https://example.invalid/edge/story,approved,,acct_fixture_edge,traffic,feed,hash_edge_story,vg_edge,hook,en,US,facebook,paid_social,camp_edge_format_place,cr_edge_format_place,,post_edge_story,existing,synthetic_sheet,row_edge_story,QA Lead,2026-07-05T10:00:00Z
cr_edge_partial_utm,camp_edge_partial_utm,adset_edge_partial_utm,image,fixtures/fake_agency_creatives/assets/edge_partial_utm.jpg,Partial UTM copy,Partial UTM,https://example.invalid/edge/partial-utm,approved,,acct_fixture_edge,traffic,feed,hash_edge_partial_utm,vg_edge,hook,en,US,facebook,,wrong_campaign,,,post_edge_partial,existing,synthetic_sheet,row_edge_partial,QA Lead,2026-07-05T10:00:00Z
cr_edge_existing_missing,camp_edge_existing_missing,adset_edge_existing_missing,image,fixtures/fake_agency_creatives/assets/edge_existing_missing.jpg,Existing post copy,Existing Post,https://example.invalid/edge/existing-post,approved,,acct_fixture_edge,traffic,feed,hash_edge_existing_missing,vg_edge,hook,en,US,facebook,paid_social,camp_edge_existing_missing,cr_edge_existing_missing,,,existing,synthetic_sheet,row_edge_existing,QA Lead,2026-07-05T10:00:00Z
cr_edge_reviewer_time,camp_edge_reviewer_time,adset_edge_reviewer_time,image,fixtures/fake_agency_creatives/assets/edge_reviewer.jpg,Reviewer copy,Reviewer,https://example.invalid/edge/reviewer,approved,,acct_fixture_edge,traffic,feed,hash_edge_reviewer,vg_edge,hook,en,US,facebook,paid_social,camp_edge_reviewer_time,cr_edge_reviewer_time,,post_edge_reviewer,existing,synthetic_sheet,row_edge_reviewer,QA Lead,
cr_edge_collision,camp_edge_collision,adset_edge_collision,image,fixtures/fake_agency_creatives/assets/edge_collision.jpg,Collision copy,Collision,https://example.invalid/edge/collision,approved,,acct_fixture_edge,traffic,feed,hash_edge_collision,vg_edge,hook,en,US,facebook,paid_social,camp_edge_collision,cr_edge_collision,,post_edge_collision,,synthetic_sheet,row_edge_collision_a,QA Lead,2026-07-05T10:00:00Z
cr_edge_collision,camp_edge_collision,adset_edge_collision,image,fixtures/fake_agency_creatives/assets/edge_collision.jpg,Collision copy,Collision,https://example.invalid/edge/collision,approved,,acct_fixture_edge,traffic,feed,hash_edge_collision,vg_edge,hook,en,US,facebook,paid_social,camp_edge_collision,cr_edge_collision,,post_edge_collision,,synthetic_sheet,row_edge_collision_b,QA Lead,2026-07-05T10:00:00Z
cr_edge_placement,camp_edge_placement,adset_edge_placement,image,fixtures/fake_agency_creatives/assets/edge_placement.jpg,Placement copy,Placement,https://example.invalid/edge/placement,approved,,acct_fixture_edge,traffic,audience_network,hash_edge_placement,vg_edge,hook,en,US,facebook,paid_social,camp_edge_placement,cr_edge_placement,,post_edge_placement,existing,synthetic_sheet,row_edge_placement,QA Lead,2026-07-05T10:00:00Z
cr_edge_post_type,camp_edge_post_type,adset_edge_post_type,image,fixtures/fake_agency_creatives/assets/edge_post_type.jpg,Post type copy,Post Type,https://example.invalid/edge/post-type,approved,,acct_fixture_edge,traffic,feed,hash_edge_post_type,vg_edge,hook,en,US,facebook,paid_social,camp_edge_post_type,cr_edge_post_type,,post_edge_post_type,legacy,synthetic_sheet,row_edge_post_type,QA Lead,2026-07-05T10:00:00Z
